#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Thu Sep 12 13:31:15 EDT 2019,29,29,Assignment1Suite,RemoveTest0+ RemoveTest1+ RemoveTest3+ SizeTest0+ SizeTest3+ , ,ClearTest0- ClearTest1- EverythingTest0- GetTest0- GetTest1- InsertTest0- InsertTest1- InsertTest2- InsertTest3- RemoveTest2- SizeTest1- SizeTest2- , ,
1,Thu Sep 12 15:23:25 EDT 2019,64,35,Assignment1Suite,ClearTest0+ ClearTest1+ InsertTest0+ InsertTest1+ InsertTest2+ InsertTest3+ RemoveTest0 RemoveTest1 RemoveTest3 SizeTest0 SizeTest3 , ,EverythingTest0 GetTest0 GetTest1 RemoveTest2 SizeTest1 SizeTest2 , ,
2,Thu Sep 12 15:25:09 EDT 2019,70,6,Assignment1Suite,ClearTest0 ClearTest1 GetTest1+ InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest3 SizeTest0 SizeTest3 , ,EverythingTest0 GetTest0 RemoveTest2 SizeTest1 SizeTest2 , ,
3,Thu Sep 12 15:27:13 EDT 2019,70,0,Assignment1Suite,ClearTest0 ClearTest1 GetTest1 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest3 SizeTest0 SizeTest3 , ,EverythingTest0 GetTest0 RemoveTest2 SizeTest1 SizeTest2 , ,
4,Thu Sep 12 15:27:29 EDT 2019,70,0,Assignment1Suite,ClearTest0 ClearTest1 GetTest1 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest3 SizeTest0 SizeTest3 , ,EverythingTest0 GetTest0 RemoveTest2 SizeTest1 SizeTest2 , ,
5,Thu Sep 12 15:30:32 EDT 2019,70,0,Assignment1Suite,ClearTest0 ClearTest1 GetTest1 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest3 SizeTest0 SizeTest3 , ,EverythingTest0 GetTest0 RemoveTest2 SizeTest1 SizeTest2 , ,
6,Thu Sep 12 15:38:04 EDT 2019,70,0,Assignment1Suite,ClearTest0 ClearTest1 GetTest1 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest3 SizeTest0 SizeTest3 , ,EverythingTest0 GetTest0 RemoveTest2 SizeTest1 SizeTest2 , ,
7,Thu Sep 12 15:43:32 EDT 2019,70,0,Assignment1Suite,ClearTest0 ClearTest1 GetTest1 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest3 SizeTest0 SizeTest3 , ,EverythingTest0 GetTest0 RemoveTest2 SizeTest1 SizeTest2 , ,
8,Thu Sep 12 15:45:50 EDT 2019,70,0,Assignment1Suite,ClearTest0 ClearTest1 GetTest1 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest3 SizeTest0 SizeTest3 , ,EverythingTest0 GetTest0 RemoveTest2 SizeTest1 SizeTest2 , ,
9,Thu Sep 12 15:47:35 EDT 2019,76,6,Assignment1Suite,ClearTest0 ClearTest1 GetTest1 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest2+ RemoveTest3 SizeTest0 SizeTest3 , ,EverythingTest0 GetTest0 SizeTest1 SizeTest2 , ,
10,Thu Sep 12 15:48:01 EDT 2019,5,-71,Assignment1Suite,GetTest1 , ,ClearTest0- ClearTest1- EverythingTest0 GetTest0 InsertTest0- InsertTest1- InsertTest2- InsertTest3- RemoveTest0- RemoveTest1- RemoveTest2- RemoveTest3- SizeTest0- SizeTest1 SizeTest2 SizeTest3- , ,
11,Thu Sep 12 15:48:20 EDT 2019,5,0,Assignment1Suite,GetTest1 , ,ClearTest0 ClearTest1 EverythingTest0 GetTest0 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,
